Tiempo,GiroX,GiroY,GiroZ,KalmanGiroY,GiroXAngle,GiroYAngle,Pitch,Roll,KalmanPitch,DMPYaw,DMPPitch,DMPRoll
5.22,-0.09,0.31,-0.05,-0.18,1.57,1.33,0.74,1.21,0.68,-14.39,22.91,3.29
5.3,0.02,0.16,-0.05,-0.07,1.57,1.34,0.78,1.48,0.68,-14.07,22.91,3.28
5.39,0.05,0.07,0.09,-0.0,1.58,1.36,0.84,1.58,0.73,-5.52,22.93,3.24
5.47,-0.02,0.27,0.25,-0.06,1.58,1.38,0.8,1.36,0.73,-5.21,22.91,3.23
5.55,0.04,-0.05,0.28,0.0,1.57,1.39,0.92,1.27,0.74,3.35,22.95,3.22
5.63,0.08,0.22,0.21,0.05,1.58,1.4,0.96,1.25,0.77,3.67,22.95,3.21
5.72,-0.11,0.09,0.0,-0.12,1.58,1.41,0.78,1.57,0.77,11.83,22.99,3.18
5.8,0.16,0.1,0.06,0.16,1.59,1.42,0.71,1.7,0.78,12.14,22.99,3.18
5.88,0.05,0.22,0.05,0.05,1.6,1.43,0.35,1.72,0.76,20.53,23.02,3.15
5.96,0.05,-0.02,0.02,0.02,1.61,1.43,0.83,1.19,0.77,20.83,23.02,3.13
6.05,-0.08,0.0,0.04,-0.1,1.62,1.43,0.71,1.88,0.78,28.71,23.0,3.12
6.13,0.03,0.04,0.16,0.0,1.62,1.43,0.44,0.96,0.75,29.0,22.99,3.12
6.21,-0.01,0.1,0.15,-0.06,1.64,1.44,0.46,1.2,0.73,36.97,23.01,3.11
6.3,0.07,0.36,0.17,0.0,1.64,1.47,0.77,1.09,0.74,37.26,23.0,3.12
6.38,0.07,0.1,0.05,0.0,1.62,1.48,0.52,1.31,0.7,45.1,23.05,3.08
6.46,-0.11,0.22,-0.01,-0.19,1.62,1.5,0.76,1.33,0.69,45.38,23.05,3.08
6.55,0.11,0.22,-0.09,-0.0,1.61,1.52,0.53,1.2,0.62,53.03,23.06,3.03
6.63,0.12,0.02,0.17,0.01,1.62,1.52,0.5,1.86,0.62,53.32,23.06,3.02
6.72,-0.07,-0.02,-0.1,-0.21,1.62,1.51,0.65,1.56,0.59,60.87,23.08,3.04
6.8,0.05,0.12,0.2,-0.09,1.63,1.52,0.85,1.16,0.6,61.15,23.08,3.03
6.88,-0.11,0.05,0.08,-0.2,1.63,1.54,0.92,1.7,0.65,68.54,23.08,3.0
6.97,0.08,0.24,0.07,0.01,1.63,1.56,0.82,1.83,0.66,68.81,23.07,3.0
7.05,0.01,-0.08,-0.12,-0.05,1.63,1.56,0.43,1.69,0.64,76.1,23.06,3.01
7.14,-0.08,0.09,0.01,-0.16,1.62,1.57,0.63,1.17,0.62,76.37,23.05,3.01
7.22,-0.05,0.31,0.0,-0.09,1.62,1.56,0.99,1.49,0.68,83.62,23.05,3.03
7.3,0.21,0.08,-0.05,0.19,1.63,1.57,1.14,1.08,0.73,83.89,23.05,3.03
7.39,-0.07,0.26,0.25,-0.02,1.63,1.58,0.79,1.79,0.77,91.19,23.05,3.02
7.47,0.02,0.16,-0.06,0.07,1.63,1.59,0.9,1.44,0.79,91.46,23.05,3.02
7.56,0.15,0.3,0.05,0.16,1.62,1.62,0.55,1.29,0.73,98.78,23.08,2.99
7.64,0.02,0.08,0.0,0.03,1.63,1.62,1.16,1.13,0.77,99.05,23.09,2.99
7.72,-0.08,0.05,0.04,-0.07,1.63,1.65,0.51,1.59,0.73,106.16,23.05,3.02
7.8,-0.03,-0.04,-0.08,-0.04,1.63,1.64,0.55,1.02,0.71,106.44,23.05,3.02
7.89,0.05,0.34,0.02,0.08,1.63,1.66,0.94,1.01,0.79,114.29,23.03,2.99
7.97,-0.05,0.35,-0.01,-0.01,1.63,1.69,0.76,1.25,0.78,114.58,23.03,3.0
8.06,-0.08,0.11,0.13,-0.06,1.63,1.7,0.47,1.44,0.75,122.27,23.08,2.99
8.14,-0.06,0.29,0.21,-0.05,1.62,1.72,1.0,1.4,0.77,122.57,23.07,2.98
8.23,-0.17,0.05,0.03,-0.14,1.63,1.73,0.79,1.48,0.77,130.8,23.11,2.96
8.32,-0.06,0.08,-0.11,-0.04,1.62,1.74,0.38,1.48,0.74,131.08,23.11,2.96
8.41,-0.17,0.18,0.02,-0.17,1.62,1.75,0.98,0.99,0.74,139.52,23.07,2.96
8.49,0.12,0.15,0.08,0.13,1.63,1.76,0.83,1.61,0.76,139.82,23.06,2.97
8.58,0.08,0.05,0.04,0.1,1.63,1.77,0.68,1.43,0.76,148.14,23.05,2.98
8.66,0.1,-0.15,-0.02,0.11,1.64,1.76,0.87,1.97,0.77,148.45,23.05,2.98
8.74,-0.11,0.22,-0.05,-0.11,1.64,1.77,0.65,1.43,0.75,156.9,23.08,2.94
8.83,0.06,0.05,0.05,0.06,1.64,1.78,0.85,1.62,0.76,157.22,23.08,2.94
8.91,-0.03,0.08,0.05,-0.03,1.64,1.78,0.75,1.1,0.75,165.74,23.02,2.95
8.99,-0.16,-0.11,0.07,-0.16,1.63,1.77,0.99,1.24,0.76,166.05,23.02,2.94
9.09,-0.03,0.35,-0.02,-0.0,1.62,1.78,0.87,1.68,0.78,174.94,22.98,2.96
9.17,-0.04,0.17,0.15,-0.01,1.62,1.79,0.76,1.67,0.78,175.26,22.99,2.97
9.26,-0.05,0.12,0.11,-0.07,1.63,1.81,1.14,1.61,0.76,-175.83,23.02,3.01
9.34,0.04,0.0,0.0,0.04,1.64,1.81,1.01,1.44,0.78,-175.52,23.03,3.01
9.43,-0.08,0.07,-0.05,-0.06,1.64,1.82,0.46,2.09,0.77,-167.02,23.03,2.98
9.51,0.03,0.24,0.02,0.04,1.64,1.84,0.83,1.39,0.78,-166.71,23.05,2.97
9.6,0.02,-0.04,0.1,-0.01,1.64,1.83,1.05,1.38,0.75,-158.06,23.04,2.96
9.69,-0.18,0.08,0.15,-0.19,1.62,1.84,0.75,1.38,0.74,-157.76,23.03,2.97
9.77,0.05,-0.11,0.02,0.03,1.62,1.85,0.41,1.36,0.69,-149.29,23.02,2.95
9.86,0.07,0.36,-0.09,0.03,1.62,1.88,0.91,1.17,0.71,-149.0,23.03,2.94
9.94,0.14,0.25,0.15,0.11,1.61,1.88,1.16,1.12,0.73,-141.07,23.03,2.98
10.02,0.17,0.11,0.08,0.17,1.62,1.89,0.73,1.44,0.74,-140.77,23.03,2.98
10.11,-0.16,0.06,0.14,-0.19,1.64,1.91,0.53,1.62,0.7,-132.99,23.0,2.93
10.19,-0.02,0.16,0.17,-0.06,1.63,1.92,0.56,1.43,0.69,-132.7,23.01,2.93
10.28,-0.03,0.12,-0.08,-0.08,1.63,1.91,0.79,1.59,0.69,-124.77,23.0,2.9
10.37,0.09,0.01,-0.07,0.05,1.64,1.91,1.1,1.6,0.73,-124.48,23.0,2.91
10.46,-0.07,0.05,-0.06,-0.1,1.64,1.92,0.43,1.07,0.69,-116.76,23.0,2.94
10.54,0.14,-0.05,0.07,0.09,1.65,1.91,1.07,1.72,0.73,-116.47,23.0,2.93
10.63,0.0,0.31,-0.02,-0.03,1.65,1.93,0.95,1.33,0.74,-108.86,23.02,2.97
10.72,0.21,0.05,0.05,0.19,1.67,1.93,1.12,1.5,0.79,-108.58,23.02,2.98
10.81,-0.05,0.13,-0.11,-0.07,1.68,1.95,0.72,1.46,0.76,-101.06,23.05,3.01
10.89,0.06,0.08,0.15,0.04,1.69,1.95,0.67,1.29,0.75,-100.79,23.06,3.01
10.98,-0.02,0.33,0.06,-0.02,1.69,1.97,0.74,1.73,0.79,-93.2,23.02,2.98
11.06,0.02,0.1,-0.03,0.02,1.7,1.98,0.45,1.09,0.76,-92.93,23.01,2.98
11.15,0.02,0.27,0.18,0.01,1.69,1.98,0.69,1.36,0.76,-85.31,22.95,2.95
11.24,-0.1,0.12,0.09,-0.12,1.68,1.99,0.73,1.19,0.75,-85.04,22.96,2.96
11.32,0.05,0.15,0.05,0.02,1.69,1.98,0.63,1.31,0.74,-77.66,22.97,2.96
11.4,-0.05,0.11,0.01,-0.07,1.68,1.99,0.78,1.78,0.74,-77.39,23.0,2.96
11.5,0.15,0.28,0.03,0.09,1.68,1.99,0.44,1.08,0.68,-69.65,23.01,2.93
11.58,-0.05,0.03,-0.02,-0.12,1.68,1.99,0.77,1.7,0.67,-69.37,23.02,2.94
11.67,-0.08,0.37,0.21,-0.14,1.67,1.99,0.68,1.86,0.67,-61.45,23.01,2.96
11.75,-0.07,0.08,0.27,-0.13,1.66,2.0,0.71,1.43,0.66,-61.17,23.02,2.95
11.84,-0.08,0.01,-0.15,-0.14,1.68,2.01,0.66,1.54,0.66,-53.05,22.97,2.96
11.93,0.02,0.23,-0.01,-0.05,1.68,2.03,0.71,1.32,0.66,-52.76,22.97,2.95
12.02,-0.06,0.21,0.03,-0.11,1.68,2.02,1.19,1.24,0.7,-44.46,22.97,2.95
12.1,-0.01,0.02,0.15,-0.03,1.68,2.02,0.66,1.21,0.7,-44.16,22.97,2.95
12.19,0.01,0.09,-0.11,-0.03,1.67,2.03,1.01,1.44,0.7,-35.68,22.98,2.95
12.27,-0.03,0.08,0.24,-0.05,1.67,2.04,0.91,1.08,0.71,-35.37,22.99,2.96
12.37,0.03,0.43,-0.06,0.01,1.68,2.04,0.8,1.15,0.7,-26.67,23.0,2.94
12.45,0.03,0.15,0.02,0.01,1.68,2.05,1.32,1.13,0.75,-26.36,23.01,2.94
12.53,0.21,0.09,0.18,0.26,1.67,2.06,0.82,1.8,0.78,-17.85,23.01,2.95
12.61,0.08,-0.08,-0.12,0.13,1.68,2.05,0.82,0.78,0.79,-17.53,23.02,2.96
12.7,0.01,-0.08,-0.02,0.05,1.68,2.06,0.76,1.42,0.79,-8.93,23.03,2.94
12.78,-0.01,0.11,0.08,0.03,1.68,2.06,0.79,1.41,0.79,-8.6,23.02,2.94
12.87,0.12,0.27,0.06,0.17,1.68,2.07,0.76,1.54,0.8,-0.01,23.05,2.91
12.95,-0.04,0.18,0.13,0.01,1.67,2.09,0.5,1.8,0.77,0.3,23.04,2.91
13.04,0.19,0.02,0.17,0.24,1.67,2.1,0.82,1.49,0.8,8.83,23.02,2.9
13.12,-0.11,0.06,0.06,-0.07,1.66,2.11,0.53,1.4,0.78,9.15,23.03,2.91
13.2,-0.06,0.16,0.12,-0.02,1.67,2.11,0.62,1.84,0.78,17.59,23.06,2.91
13.29,0.03,0.01,0.06,0.06,1.67,2.11,0.56,1.44,0.77,17.9,23.06,2.91
13.37,-0.01,0.04,0.03,-0.02,1.68,2.12,0.85,1.63,0.74,26.15,23.0,2.94
13.45,-0.07,0.18,0.15,-0.08,1.67,2.13,0.92,1.42,0.75,26.45,23.02,2.95
13.54,0.05,0.01,0.14,0.05,1.67,2.13,1.17,1.69,0.79,34.51,23.01,2.94
13.62,0.02,0.24,0.09,0.04,1.67,2.15,1.12,1.93,0.82,34.8,23.0,2.94
13.71,-0.02,0.33,0.21,0.02,1.68,2.16,0.27,1.2,0.77,42.67,22.96,2.94
13.79,-0.08,0.05,0.02,-0.07,1.67,2.17,0.68,1.64,0.75,42.95,22.96,2.94
13.87,0.25,0.21,0.07,0.24,1.67,2.17,0.82,1.26,0.74,50.63,22.94,2.95
13.96,0.06,0.05,-0.01,0.05,1.67,2.17,0.55,1.56,0.73,50.91,22.94,2.95
14.04,0.02,-0.02,0.07,-0.0,1.67,2.18,0.63,1.19,0.71,58.47,22.99,3.0
14.12,-0.16,-0.14,0.1,-0.19,1.66,2.17,1.11,1.37,0.73,58.74,22.98,3.01
14.21,-0.02,0.27,0.27,-0.05,1.67,2.18,0.82,1.85,0.71,66.13,22.96,2.96
14.29,-0.06,0.2,0.18,-0.09,1.66,2.2,0.61,1.52,0.7,66.4,22.97,2.97
14.38,-0.03,0.02,0.03,-0.07,1.66,2.21,0.27,1.69,0.64,73.74,23.02,2.92
14.46,0.23,0.06,0.04,0.16,1.68,2.21,0.76,1.52,0.67,74.01,23.02,2.92
14.55,-0.08,-0.05,0.0,-0.13,1.67,2.22,1.13,1.61,0.71,81.25,22.96,2.9
14.63,-0.09,0.05,0.11,-0.11,1.66,2.23,1.05,1.3,0.73,81.51,22.94,2.9
14.71,0.05,0.07,-0.04,0.07,1.65,2.24,0.49,1.49,0.73,88.76,22.95,2.92
14.8,-0.07,-0.04,0.11,-0.06,1.64,2.24,0.54,1.4,0.7,89.03,22.95,2.93
14.88,0.08,0.02,-0.01,0.04,1.64,2.23,0.57,1.3,0.65,96.33,22.92,2.96
14.96,0.03,0.02,0.08,-0.02,1.65,2.23,0.45,1.47,0.63,96.6,22.92,2.96
15.05,0.02,0.08,-0.02,0.01,1.64,2.25,0.88,1.58,0.69,104.02,22.95,2.92
15.13,-0.02,-0.02,0.11,-0.02,1.64,2.25,0.94,1.31,0.71,104.3,22.94,2.92
15.22,-0.02,0.16,0.18,0.02,1.64,2.26,1.0,1.08,0.76,112.08,22.97,2.96
15.31,0.04,0.18,0.09,0.09,1.64,2.27,0.36,1.31,0.74,112.36,22.96,2.95
15.39,-0.08,0.04,-0.04,-0.08,1.65,2.29,0.46,1.44,0.69,120.04,22.98,2.94
15.48,-0.05,0.09,-0.02,-0.07,1.64,2.3,1.05,1.23,0.72,120.32,22.98,2.95
15.57,0.02,0.24,0.03,0.03,1.63,2.3,0.88,1.7,0.72,128.44,22.98,2.96
15.65,0.07,0.2,0.1,0.09,1.64,2.32,1.03,1.38,0.75,128.73,22.98,2.96
15.73,-0.02,-0.02,-0.02,0.02,1.64,2.33,0.79,1.4,0.77,136.76,22.97,2.99
15.82,0.01,0.08,0.15,0.06,1.64,2.33,1.01,1.25,0.8,137.08,22.96,2.98
15.91,-0.09,-0.1,0.15,-0.02,1.64,2.33,0.61,1.39,0.8,145.56,23.03,2.99
15.99,0.24,0.15,0.01,0.3,1.66,2.34,0.9,1.35,0.83,145.87,23.03,2.98
16.08,0.04,-0.05,0.15,0.09,1.66,2.35,1.06,1.4,0.83,154.58,23.01,2.99
16.16,-0.2,0.1,0.13,-0.14,1.64,2.36,0.87,1.01,0.82,154.89,23.01,2.99
16.26,-0.11,0.27,0.08,-0.07,1.65,2.38,0.76,1.44,0.8,163.7,23.0,2.99
16.34,0.14,0.17,-0.01,0.17,1.66,2.4,1.27,1.73,0.84,164.01,23.01,2.98
16.43,-0.05,0.09,-0.1,-0.0,1.67,2.41,0.63,1.09,0.83,172.89,22.97,3.01
16.51,0.07,0.14,0.21,0.11,1.68,2.42,1.06,1.57,0.86,173.21,22.96,3.01
16.6,-0.02,-0.08,0.05,-0.03,1.68,2.43,0.95,1.8,0.8,-177.91,22.92,3.01
16.69,0.01,-0.1,0.08,0.01,1.68,2.43,1.18,1.68,0.83,-177.6,22.91,3.01
16.78,0.02,0.11,-0.03,0.02,1.67,2.45,0.73,1.5,0.8,-168.78,22.91,3.04
16.86,-0.06,0.34,0.1,-0.06,1.67,2.48,0.35,0.99,0.76,-168.47,22.9,3.04
16.95,0.09,-0.05,0.07,0.07,1.67,2.49,0.87,1.79,0.77,-159.77,22.91,3.05
17.03,0.0,0.36,0.17,-0.02,1.67,2.52,1.08,1.3,0.79,-159.46,22.91,3.05
17.12,-0.05,0.19,0.11,-0.06,1.67,2.53,0.9,1.53,0.77,-150.98,23.01,3.11
17.21,-0.11,-0.06,0.01,-0.12,1.66,2.53,1.13,1.34,0.79,-150.67,23.02,3.1
17.3,0.07,-0.02,-0.02,0.06,1.66,2.54,0.9,1.48,0.78,-142.39,22.96,3.06
17.38,0.08,0.24,0.08,0.09,1.67,2.57,0.71,1.19,0.78,-142.1,22.96,3.06
17.47,0.1,-0.2,0.08,0.08,1.65,2.57,1.02,1.91,0.77,-134.02,22.93,3.05
17.56,0.02,0.13,-0.01,0.02,1.65,2.58,0.96,1.71,0.78,-133.75,22.92,3.05
17.65,0.03,-0.03,0.09,0.05,1.65,2.6,0.35,1.28,0.76,-125.77,22.97,3.03
17.73,0.14,0.11,-0.06,0.13,1.66,2.61,0.84,1.76,0.77,-125.48,22.97,3.03
17.82,0.03,0.16,0.16,0.04,1.67,2.62,0.77,1.62,0.8,-117.73,23.05,3.11
17.9,0.02,0.1,0.1,0.02,1.68,2.63,0.87,1.36,0.8,-117.45,23.04,3.11
17.99,0.0,0.02,-0.02,0.03,1.67,2.62,0.9,1.62,0.84,-109.89,22.97,3.01
18.08,0.24,0.1,0.08,0.27,1.69,2.63,0.84,1.33,0.86,-109.61,22.96,3.01
18.17,0.07,0.02,0.25,0.09,1.71,2.63,0.73,1.53,0.85,-102.12,22.94,3.04
18.25,-0.12,0.02,0.05,-0.11,1.7,2.64,0.44,0.91,0.81,-101.84,22.94,3.04
18.34,-0.15,0.02,0.17,-0.19,1.69,2.64,0.46,1.47,0.74,-94.3,22.93,2.98
18.42,0.09,0.06,-0.11,0.03,1.7,2.64,1.19,1.7,0.78,-94.04,22.93,2.98
18.51,-0.28,0.18,0.37,-0.32,1.7,2.66,0.61,1.19,0.75,-86.75,22.93,2.97
18.59,-0.13,0.1,0.08,-0.18,1.69,2.67,0.36,1.35,0.71,-86.5,22.95,2.97
18.68,-0.01,-0.06,0.1,-0.06,1.67,2.7,1.05,1.4,0.74,-78.86,22.93,2.98
18.77,0.0,0.09,0.21,-0.03,1.67,2.71,1.02,1.1,0.76,-78.58,22.94,2.99
18.86,0.07,0.07,0.07,0.05,1.68,2.72,0.54,1.21,0.75,-70.83,22.93,3.02
18.94,0.07,0.15,0.05,0.04,1.69,2.73,0.26,1.15,0.71,-70.55,22.93,3.02
19.03,-0.02,-0.11,0.14,-0.08,1.7,2.75,0.63,1.3,0.72,-62.95,22.95,3.04
19.11,0.08,0.05,0.05,0.03,1.71,2.75,0.75,1.43,0.73,-62.67,22.93,3.05
19.2,0.08,-0.08,0.11,0.02,1.7,2.76,0.96,1.19,0.73,-54.59,22.94,3.06
19.28,0.05,0.08,0.01,-0.0,1.71,2.77,0.96,1.22,0.74,-54.29,22.92,3.06
19.37,0.01,0.11,0.08,-0.03,1.71,2.78,1.13,1.56,0.76,-46.02,23.01,3.02
19.46,-0.18,0.17,0.05,-0.2,1.69,2.79,0.54,1.35,0.73,-45.73,23.0,3.02
19.55,0.05,-0.06,-0.03,0.05,1.68,2.83,0.46,1.87,0.74,-37.26,23.0,3.01
19.63,0.02,0.07,0.07,0.01,1.69,2.84,0.65,1.58,0.73,-36.96,23.0,3.0
19.71,0.05,0.24,0.05,0.05,1.69,2.86,0.75,1.37,0.76,-28.6,22.98,2.97
19.8,-0.08,-0.02,0.08,-0.08,1.69,2.86,0.89,1.09,0.77,-28.3,22.98,2.97
19.89,0.18,0.0,0.08,0.16,1.69,2.85,0.7,1.55,0.73,-19.49,22.97,2.98
19.97,-0.09,0.21,0.05,-0.12,1.69,2.87,0.73,1.44,0.72,-19.18,22.96,2.98
20.06,0.0,-0.1,0.12,-0.03,1.7,2.89,0.83,1.7,0.74,-10.59,22.94,3.01
20.14,-0.06,0.24,0.11,-0.08,1.69,2.91,1.03,1.41,0.76,-10.27,22.95,3.0
20.23,-0.01,0.03,0.02,-0.01,1.7,2.92,0.58,1.51,0.75,-1.4,22.89,2.97
20.31,0.05,0.33,-0.01,0.04,1.7,2.95,0.67,1.49,0.75,-1.08,22.88,2.96
20.4,-0.01,-0.26,0.03,-0.03,1.71,2.95,0.82,1.18,0.75,7.44,22.87,3.0
20.48,-0.2,0.18,0.05,-0.22,1.69,2.97,1.14,1.41,0.76,7.76,22.89,3.01
20.57,0.07,0.08,0.05,0.08,1.71,2.98,0.96,1.14,0.8,16.2,22.9,3.01
20.65,-0.03,0.08,-0.08,-0.01,1.7,2.98,0.93,1.5,0.81,16.5,22.91,3.01
20.73,-0.05,-0.05,0.05,-0.01,1.71,2.98,0.55,1.52,0.8,24.82,22.95,3.02
20.82,-0.05,0.33,0.06,-0.04,1.71,3.0,0.84,1.73,0.8,25.12,22.95,3.02
20.9,-0.15,-0.03,0.08,-0.13,1.72,3.03,0.85,1.81,0.81,33.19,22.95,3.02
20.99,0.13,0.34,0.15,0.15,1.73,3.06,0.93,1.55,0.83,33.48,22.94,3.02
21.07,-0.01,0.14,0.01,0.02,1.74,3.08,0.85,1.2,0.84,41.41,22.94,3.05
21.15,0.08,-0.18,0.18,0.11,1.75,3.06,0.84,1.41,0.85,41.7,22.94,3.05
21.24,0.15,0.3,0.04,0.13,1.74,3.07,0.79,1.67,0.79,49.48,22.96,2.98
21.32,-0.05,0.08,0.05,-0.06,1.74,3.08,0.55,1.47,0.77,49.77,22.96,2.98
21.41,0.04,0.31,0.07,0.01,1.73,3.1,0.72,1.68,0.75,57.33,22.98,2.99
21.49,0.2,0.06,0.18,0.16,1.75,3.1,0.84,1.71,0.77,57.61,22.99,2.99
21.57,0.15,0.02,0.14,0.15,1.75,3.11,0.87,1.72,0.81,65.04,22.97,2.97
21.65,-0.11,0.16,-0.04,-0.11,1.74,3.12,0.64,1.57,0.79,65.31,22.98,2.97
21.74,-0.08,0.27,0.21,-0.12,1.75,3.13,1.0,1.24,0.78,72.66,22.97,2.97
21.82,0.08,0.18,0.05,0.06,1.76,3.14,0.76,1.82,0.78,72.94,22.98,2.98
21.91,-0.07,0.16,0.11,-0.1,1.76,3.16,0.96,1.35,0.8,80.22,22.97,2.95
21.99,0.15,-0.08,0.08,0.13,1.78,3.15,0.97,1.59,0.82,80.5,22.95,2.96
22.08,0.08,0.11,0.12,0.07,1.78,3.16,0.62,1.53,0.81,87.76,22.96,3.01
22.16,0.0,0.18,0.08,-0.02,1.78,3.17,0.84,1.66,0.81,88.01,22.96,3.01
22.24,0.12,0.13,0.24,0.11,1.78,3.18,0.79,1.37,0.82,95.33,22.97,2.98
22.32,-0.01,0.13,0.05,-0.02,1.78,3.19,1.01,1.54,0.84,95.6,22.97,2.99
