Tiempo,GiroX,GiroY,GiroZ,KalmanGiroX,GiroXAngle,GiroYAngle,Roll,Pitch,KalmanRoll
28.71,-0.12,0.03,-0.05,-0.05,-0.04,-3.69,0.17,1.72,-0.02
28.77,-0.08,-0.19,-0.05,0.01,-0.05,-3.7,-0.24,1.03,-0.04
28.84,-0.05,0.02,-0.18,0.03,-0.05,-3.7,-0.26,1.13,-0.07
28.91,-0.03,-0.12,-0.03,0.03,-0.05,-3.71,-0.21,1.43,-0.08
28.97,-0.13,-0.08,-0.11,-0.08,-0.06,-3.72,0.02,1.22,-0.07
29.04,-0.02,-0.06,-0.05,0.03,-0.06,-3.72,-0.26,1.48,-0.09
29.11,0.03,-0.29,-0.03,0.07,-0.06,-3.74,-0.12,1.48,-0.09
29.17,-0.12,-0.01,-0.1,-0.09,-0.07,-3.74,0.3,1.68,-0.05
29.24,0.05,-0.21,0.02,0.11,-0.07,-3.75,-0.11,1.58,-0.05
29.3,-0.07,-0.13,0.02,-0.01,-0.07,-3.76,0.32,1.71,-0.01
29.37,0.08,0.05,-0.08,0.17,-0.07,-3.76,0.24,1.33,0.02
29.43,-0.05,-0.16,0.04,0.06,-0.07,-3.77,-0.35,1.55,-0.01
29.5,-0.08,-0.13,-0.05,0.0,-0.07,-3.78,-0.2,1.52,-0.03
29.56,-0.03,-0.14,-0.05,0.04,-0.08,-3.79,0.02,1.75,-0.02
29.63,-0.13,-0.29,0.02,-0.06,-0.08,-3.81,-0.12,1.7,-0.04
29.7,-0.04,-0.21,-0.19,0.02,-0.09,-3.82,-0.45,1.48,-0.08
29.76,-0.07,-0.34,-0.19,-0.04,-0.09,-3.84,0.02,0.89,-0.07
29.83,-0.17,-0.1,-0.09,-0.13,-0.1,-3.85,-0.06,1.45,-0.08
29.9,-0.01,-0.14,-0.09,0.03,-0.1,-3.86,-0.39,1.84,-0.11
29.96,-0.02,-0.16,-0.19,0.0,-0.1,-3.87,-0.08,1.2,-0.11
30.03,-0.07,-0.02,0.16,-0.05,-0.11,-3.87,-0.14,1.15,-0.11
30.1,-0.07,-0.18,-0.06,-0.05,-0.11,-3.88,-0.38,1.75,-0.15
30.16,-0.08,-0.1,-0.07,-0.08,-0.12,-3.89,-0.03,1.46,-0.14
30.23,-0.05,-0.18,-0.02,-0.05,-0.12,-3.9,0.15,1.23,-0.11
30.3,-0.16,-0.23,-0.05,-0.13,-0.13,-3.92,-0.06,1.51,-0.11
30.37,-0.11,-0.11,0.02,-0.08,-0.14,-3.92,-0.03,1.25,-0.11
30.43,0.03,-0.17,0.03,0.07,-0.14,-3.93,-0.11,1.11,-0.1
30.5,0.05,0.16,-0.07,0.09,-0.13,-3.92,0.03,1.15,-0.08
30.56,-0.08,-0.08,0.0,-0.03,-0.14,-3.93,-0.18,1.44,-0.1
30.63,-0.01,0.08,0.02,0.03,-0.14,-3.92,0.28,1.24,-0.05
30.69,-0.08,-0.2,-0.08,-0.01,-0.15,-3.94,-0.13,1.34,-0.06
30.76,0.0,-0.34,-0.1,0.06,-0.15,-3.96,0.11,1.23,-0.04
30.82,-0.11,-0.14,-0.14,-0.03,-0.15,-3.97,0.14,1.47,-0.02
30.89,-0.04,-0.14,0.03,0.05,-0.16,-3.98,-0.21,1.29,-0.04
30.96,0.02,-0.17,-0.15,0.1,-0.15,-3.99,-0.12,1.3,-0.04
31.02,-0.11,0.17,-0.04,-0.05,-0.16,-3.98,-0.14,1.26,-0.06
31.09,-0.18,-0.15,0.15,-0.12,-0.17,-3.99,0.02,0.98,-0.06
31.16,-0.05,0.02,-0.08,0.02,-0.18,-3.99,-0.14,1.61,-0.06
31.22,-0.09,-0.33,-0.02,-0.03,-0.18,-4.01,0.02,1.48,-0.06
31.29,0.02,-0.37,-0.01,0.09,-0.18,-4.03,-0.31,1.45,-0.08
31.35,-0.17,-0.12,0.0,-0.12,-0.19,-4.04,-0.21,1.46,-0.1
31.42,0.05,-0.2,-0.15,0.08,-0.19,-4.06,-0.37,1.19,-0.12
31.49,-0.26,0.02,0.01,-0.24,-0.21,-4.05,-0.73,1.35,-0.2
31.55,-0.11,0.03,-0.1,-0.14,-0.21,-4.05,-0.13,1.42,-0.2
31.62,0.01,-0.13,-0.17,-0.01,-0.21,-4.06,-0.44,1.6,-0.23
31.68,-0.03,-0.24,0.01,-0.07,-0.22,-4.08,0.14,1.41,-0.2
31.75,0.01,-0.41,-0.02,-0.0,-0.21,-4.1,-0.41,1.81,-0.22
31.82,-0.14,0.02,-0.11,-0.16,-0.22,-4.1,-0.23,1.33,-0.23
31.88,0.0,-0.21,0.06,-0.03,-0.22,-4.12,0.35,1.7,-0.17
31.95,-0.06,-0.28,-0.05,-0.04,-0.23,-4.13,0.24,1.27,-0.13
32.02,-0.18,-0.23,-0.05,-0.13,-0.24,-4.15,-0.04,1.19,-0.13
32.08,0.02,-0.21,-0.15,0.07,-0.24,-4.16,-0.09,1.48,-0.12
32.15,0.02,-0.04,-0.02,0.07,-0.24,-4.17,-0.01,1.72,-0.1
32.21,-0.15,0.03,-0.03,-0.09,-0.25,-4.16,0.09,1.01,-0.09
32.28,0.0,-0.17,-0.16,0.08,-0.25,-4.17,0.05,1.62,-0.07
32.34,0.05,-0.21,-0.23,0.14,-0.24,-4.19,-0.06,1.45,-0.06
32.41,0.03,-0.15,-0.02,0.12,-0.24,-4.2,-0.09,1.37,-0.06
32.48,-0.03,0.08,0.05,0.06,-0.24,-4.19,0.11,1.4,-0.03
32.54,-0.08,-0.14,0.02,0.02,-0.25,-4.2,-0.7,1.18,-0.11
32.61,-0.05,0.02,-0.02,-0.0,-0.25,-4.2,-0.17,1.23,-0.11
32.67,-0.08,-0.21,0.01,-0.03,-0.26,-4.21,0.02,1.48,-0.1
32.74,0.05,-0.02,0.02,0.11,-0.26,-4.22,0.35,1.66,-0.05
32.8,-0.21,-0.07,0.03,-0.12,-0.27,-4.22,-0.2,1.4,-0.07
32.87,0.02,-0.32,-0.12,0.09,-0.27,-4.24,-0.27,1.04,-0.08
32.93,0.05,-0.12,-0.1,0.11,-0.26,-4.25,0.15,1.18,-0.05
33.0,0.08,-0.11,-0.09,0.15,-0.26,-4.26,-0.11,1.39,-0.05
33.06,-0.05,0.0,-0.16,0.03,-0.26,-4.26,0.15,1.06,-0.03
33.13,0.01,-0.2,-0.01,0.1,-0.26,-4.27,0.21,1.19,0.0
33.19,-0.23,-0.33,0.03,-0.12,-0.28,-4.29,0.2,1.81,0.02
33.26,0.02,-0.18,-0.05,0.14,-0.28,-4.3,0.45,1.34,0.07
33.32,-0.06,-0.37,0.0,0.09,-0.28,-4.33,-0.09,1.07,0.06
33.38,-0.06,-0.18,0.01,0.08,-0.28,-4.34,0.05,1.14,0.06
33.45,-0.02,-0.06,-0.22,0.12,-0.28,-4.34,0.2,1.37,0.08
33.51,-0.04,0.12,0.0,0.11,-0.29,-4.33,0.26,1.35,0.11
33.58,0.03,-0.24,-0.02,0.19,-0.28,-4.35,-0.06,1.19,0.1
33.64,0.02,-0.04,-0.02,0.17,-0.28,-4.35,-0.22,1.43,0.08
33.7,-0.2,-0.24,0.02,-0.08,-0.3,-4.37,-0.12,1.57,0.05
33.77,-0.05,-0.05,-0.06,0.05,-0.3,-4.37,-0.3,1.55,0.02
33.84,-0.02,-0.02,-0.11,0.07,-0.3,-4.37,-0.03,1.76,0.02
33.9,-0.13,-0.13,-0.08,-0.05,-0.31,-4.38,0.27,1.68,0.04
33.97,-0.05,-0.18,-0.06,0.04,-0.31,-4.39,-0.12,1.46,0.03
34.03,-0.01,-0.37,-0.15,0.08,-0.31,-4.42,-0.12,1.61,0.02
34.1,0.0,-0.25,0.0,0.07,-0.31,-4.43,-0.12,1.22,0.0
34.16,0.05,-0.01,-0.19,0.12,-0.31,-4.43,-0.17,1.5,-0.01
34.23,-0.09,-0.08,-0.02,-0.04,-0.32,-4.44,0.29,1.58,0.02
34.29,-0.25,-0.15,-0.03,-0.18,-0.33,-4.45,0.0,1.34,0.01
34.36,-0.03,-0.08,-0.02,0.04,-0.33,-4.45,0.02,2.1,0.01
34.42,-0.08,-0.19,0.05,-0.01,-0.34,-4.46,-0.18,1.27,-0.01
34.49,-0.01,-0.03,-0.17,0.05,-0.34,-4.47,0.02,1.1,-0.0
34.56,0.02,0.11,-0.1,0.07,-0.34,-4.46,0.0,1.51,0.0
34.62,-0.14,-0.22,-0.11,-0.08,-0.35,-4.47,-0.06,1.11,-0.01
34.69,0.04,-0.11,-0.09,0.09,-0.34,-4.48,0.08,1.75,0.0
34.75,-0.05,-0.21,-0.14,0.01,-0.35,-4.49,-0.26,1.44,-0.02
34.82,-0.01,-0.08,0.08,0.03,-0.35,-4.5,-0.13,1.37,-0.03
34.88,-0.13,0.02,-0.14,-0.1,-0.36,-4.5,-0.08,1.26,-0.04
34.95,-0.07,-0.32,0.0,-0.04,-0.36,-4.52,0.16,1.41,-0.02
35.01,-0.05,-0.02,0.0,-0.01,-0.37,-4.52,-0.21,1.61,-0.04
35.08,-0.06,-0.02,-0.21,-0.03,-0.37,-4.52,0.02,1.52,-0.04
35.15,-0.08,-0.21,-0.11,-0.05,-0.38,-4.54,0.09,1.08,-0.03
35.21,-0.04,-0.05,-0.09,0.01,-0.38,-4.54,0.48,1.09,0.03
35.28,0.05,-0.23,-0.1,0.14,-0.37,-4.55,0.19,1.05,0.05
35.34,-0.02,-0.15,-0.1,0.07,-0.38,-4.56,-0.11,1.69,0.04
35.41,0.01,0.0,-0.14,0.09,-0.38,-4.56,-0.05,1.67,0.04
35.47,-0.05,-0.11,0.07,0.02,-0.38,-4.57,0.44,1.23,0.08
35.54,0.01,0.03,-0.18,0.12,-0.38,-4.57,-0.31,1.51,0.05
35.6,0.01,0.22,-0.05,0.08,-0.38,-4.55,-0.61,1.29,-0.02
35.66,-0.07,-0.24,-0.11,-0.04,-0.38,-4.57,0.21,1.84,0.0
35.73,-0.11,-0.05,0.02,-0.06,-0.39,-4.57,-0.43,1.35,-0.05
35.8,0.01,-0.23,-0.11,0.02,-0.39,-4.59,-0.06,1.27,-0.05
35.86,0.08,-0.3,-0.09,0.09,-0.38,-4.61,0.03,1.22,-0.03
35.93,-0.17,-0.11,-0.05,-0.15,-0.39,-4.61,0.02,1.21,-0.04
35.99,-0.11,-0.08,0.08,-0.09,-0.4,-4.62,-0.15,1.53,-0.05
36.06,-0.22,-0.11,-0.04,-0.21,-0.42,-4.63,0.06,0.65,-0.05
36.13,-0.02,-0.16,0.03,0.01,-0.42,-4.64,-0.17,1.51,-0.07
36.19,-0.07,-0.16,-0.08,-0.06,-0.42,-4.65,-0.39,1.75,-0.1
36.26,-0.05,-0.09,0.02,-0.06,-0.42,-4.65,-0.2,1.15,-0.12
36.33,-0.07,-0.15,0.09,-0.09,-0.43,-4.66,0.0,1.22,-0.11
36.39,-0.11,-0.34,-0.23,-0.12,-0.44,-4.69,-0.06,1.01,-0.11
36.46,0.01,-0.03,-0.1,0.0,-0.44,-4.69,0.05,1.61,-0.09
36.53,-0.08,-0.05,-0.14,-0.08,-0.44,-4.69,-0.38,1.53,-0.13
36.59,-0.18,-0.01,-0.07,-0.2,-0.45,-4.69,0.29,1.53,-0.1
36.66,-0.02,-0.13,-0.02,0.0,-0.45,-4.7,-0.12,0.93,-0.1
36.73,-0.02,-0.33,0.01,0.0,-0.46,-4.72,0.06,0.92,-0.08
36.79,-0.09,-0.32,-0.05,-0.06,-0.46,-4.74,-0.32,1.28,-0.11
36.86,0.0,-0.11,0.11,0.01,-0.46,-4.75,0.24,1.56,-0.07
36.92,-0.01,-0.21,-0.05,0.03,-0.46,-4.77,-0.33,1.2,-0.1
36.99,-0.09,-0.2,-0.02,-0.07,-0.47,-4.78,0.21,1.32,-0.07
37.06,-0.1,-0.27,-0.16,-0.06,-0.47,-4.8,0.15,1.39,-0.05
37.12,0.03,-0.19,-0.15,0.09,-0.47,-4.81,-0.09,1.46,-0.05
37.19,-0.09,-0.05,-0.05,-0.03,-0.48,-4.81,-0.09,1.41,-0.05
37.26,-0.02,-0.21,-0.12,0.04,-0.48,-4.83,-0.17,1.2,-0.06
37.32,-0.09,-0.06,-0.08,-0.05,-0.49,-4.83,0.08,1.5,-0.05
37.39,-0.13,-0.28,-0.07,-0.07,-0.49,-4.85,0.39,1.59,-0.01
37.46,-0.07,-0.2,-0.14,0.02,-0.5,-4.86,-0.03,0.99,-0.01
37.52,-0.08,-0.15,-0.21,0.01,-0.5,-4.87,0.21,1.39,0.02
37.59,-0.05,-0.04,-0.14,0.05,-0.51,-4.88,-0.15,1.25,0.0
37.65,-0.03,-0.2,-0.05,0.06,-0.51,-4.89,0.09,1.5,0.01
37.72,-0.12,-0.01,-0.04,-0.02,-0.52,-4.89,0.05,1.26,0.02
37.78,-0.03,-0.3,0.0,0.07,-0.52,-4.91,0.05,0.99,0.02
37.85,-0.14,-0.08,0.05,-0.03,-0.53,-4.91,0.0,1.73,0.02
37.91,-0.08,0.09,-0.02,0.03,-0.53,-4.91,-0.03,1.43,0.02
37.98,-0.1,-0.21,-0.14,-0.0,-0.54,-4.92,0.29,1.52,0.04
38.04,-0.14,0.1,-0.02,-0.02,-0.55,-4.91,-0.1,1.24,0.03
38.11,0.02,-0.28,-0.16,0.12,-0.55,-4.93,-0.11,1.61,0.02
38.17,-0.1,-0.24,0.01,-0.0,-0.55,-4.95,-0.2,1.16,-0.0
38.24,0.04,-0.13,0.04,0.12,-0.55,-4.96,0.03,1.33,0.01
38.3,-0.08,0.05,-0.08,0.01,-0.56,-4.95,-0.11,1.36,-0.0
38.37,-0.06,-0.1,-0.07,0.01,-0.56,-4.96,-0.17,1.4,-0.02
38.43,-0.03,-0.05,0.05,0.03,-0.56,-4.96,-0.21,1.32,-0.04
38.5,-0.2,-0.02,-0.05,-0.15,-0.58,-4.97,-0.44,1.68,-0.09
38.57,0.02,-0.02,-0.16,0.04,-0.57,-4.97,0.64,1.44,-0.01
38.63,-0.08,0.0,-0.06,-0.01,-0.58,-4.97,-0.23,1.68,-0.03
38.7,0.11,-0.27,-0.2,0.16,-0.57,-4.98,0.15,1.2,-0.0
38.76,-0.08,0.04,0.05,-0.01,-0.58,-4.98,-0.19,2.15,-0.03
38.83,-0.08,-0.21,-0.08,-0.03,-0.58,-5.0,0.18,1.67,-0.01
38.9,0.09,-0.12,0.02,0.16,-0.58,-5.0,-0.24,1.24,-0.02
38.96,-0.1,0.0,-0.05,-0.05,-0.58,-5.0,0.05,1.75,-0.02
39.03,-0.01,-0.13,-0.06,0.05,-0.58,-5.01,-0.17,1.49,-0.03
39.09,-0.05,0.14,0.05,-0.01,-0.59,-5.0,-0.12,1.48,-0.04
39.16,-0.03,-0.18,0.02,0.01,-0.59,-5.02,-0.14,1.09,-0.05
39.22,-0.11,-0.17,0.01,-0.08,-0.6,-5.03,0.09,1.0,-0.04
39.29,-0.05,-0.16,-0.18,-0.01,-0.6,-5.04,-0.21,1.23,-0.06
39.36,0.05,-0.02,-0.05,0.08,-0.6,-5.04,0.02,1.73,-0.05
39.42,-0.15,-0.01,-0.03,-0.12,-0.61,-5.04,0.03,1.53,-0.04
39.49,-0.05,-0.21,-0.02,-0.01,-0.61,-5.05,-0.06,1.36,-0.05
39.56,-0.02,-0.11,-0.05,0.02,-0.61,-5.06,-0.27,1.41,-0.07
39.62,-0.02,-0.05,-0.03,-0.0,-0.61,-5.06,0.06,1.42,-0.06
39.69,-0.04,-0.15,0.01,-0.01,-0.61,-5.07,-0.35,1.62,-0.09
39.76,-0.08,-0.18,0.07,-0.07,-0.62,-5.09,-0.2,1.8,-0.1
39.82,-0.08,-0.22,-0.03,-0.08,-0.63,-5.1,-0.17,1.75,-0.11
39.89,0.16,0.11,-0.17,0.16,-0.61,-5.09,-0.18,1.1,-0.11
39.96,-0.08,-0.18,-0.11,-0.09,-0.62,-5.11,0.05,1.04,-0.1
40.02,-0.06,0.0,0.11,-0.06,-0.62,-5.11,-0.17,1.09,-0.11
40.09,0.02,-0.06,-0.02,0.01,-0.62,-5.11,-0.11,1.54,-0.11
40.15,-0.08,-0.27,0.01,-0.08,-0.63,-5.13,-0.03,1.1,-0.11
40.22,-0.08,-0.04,-0.09,-0.07,-0.63,-5.13,-0.11,1.61,-0.11
40.29,-0.03,-0.24,-0.01,-0.02,-0.64,-5.15,0.23,1.46,-0.07
40.35,-0.05,-0.38,-0.02,-0.02,-0.64,-5.17,0.32,1.11,-0.03
40.42,0.08,-0.03,-0.08,0.14,-0.63,-5.17,-0.08,1.52,-0.03
40.49,-0.06,-0.15,-0.04,-0.0,-0.64,-5.18,-0.06,1.37,-0.03
40.55,-0.08,-0.27,0.1,-0.03,-0.64,-5.2,0.0,1.53,-0.03
40.62,-0.02,-0.11,-0.08,0.04,-0.64,-5.21,-0.06,1.42,-0.03
40.69,0.04,0.08,0.02,0.09,-0.64,-5.2,0.0,1.31,-0.02
40.75,-0.04,-0.22,0.13,0.02,-0.64,-5.22,-0.24,1.72,-0.05
40.82,0.02,-0.21,-0.05,0.06,-0.64,-5.23,0.21,1.53,-0.01
40.88,0.02,-0.24,-0.1,0.08,-0.64,-5.25,-0.03,1.47,-0.01
40.95,-0.02,-0.06,-0.2,0.04,-0.64,-5.25,0.0,1.32,-0.01
41.01,0.08,-0.12,-0.15,0.14,-0.64,-5.26,-0.44,1.37,-0.05
41.08,-0.02,-0.3,-0.14,0.01,-0.64,-5.28,0.03,1.46,-0.04
41.14,0.03,0.03,-0.1,0.06,-0.64,-5.28,0.18,1.56,-0.01
41.21,-0.12,-0.04,-0.08,-0.07,-0.64,-5.28,0.44,1.34,0.03
41.27,0.01,0.12,-0.08,0.09,-0.64,-5.27,-0.12,1.58,0.02
41.34,-0.05,-0.27,0.02,0.02,-0.65,-5.29,-0.03,1.16,0.02
41.4,-0.01,-0.18,-0.19,0.06,-0.65,-5.3,-0.18,1.12,0.0
41.47,-0.08,-0.03,-0.15,-0.03,-0.65,-5.3,-0.11,1.51,-0.01
41.53,-0.08,-0.18,-0.15,-0.04,-0.66,-5.31,0.18,1.16,0.01
41.6,-0.15,-0.1,0.0,-0.09,-0.67,-5.32,0.29,1.34,0.03
41.66,-0.15,0.11,0.09,-0.06,-0.68,-5.31,-0.23,1.16,-0.0
41.73,0.02,-0.11,-0.18,0.08,-0.68,-5.32,-0.1,1.39,-0.01
41.8,0.02,-0.15,-0.11,0.08,-0.68,-5.33,0.26,1.37,0.03
41.86,-0.07,0.05,-0.12,0.0,-0.68,-5.33,-0.14,1.05,0.01
41.92,0.01,-0.18,-0.08,0.07,-0.68,-5.34,-0.06,1.27,0.0
41.99,-0.08,-0.42,-0.01,-0.03,-0.68,-5.37,-0.08,1.3,-0.01
42.06,-0.12,-0.11,-0.07,-0.07,-0.69,-5.37,0.5,0.98,0.04
42.12,0.07,-0.01,0.02,0.16,-0.69,-5.37,0.38,1.49,0.09
42.18,-0.21,-0.15,0.0,-0.09,-0.7,-5.38,0.03,1.52,0.08
42.25,-0.17,-0.26,-0.02,-0.06,-0.71,-5.4,-0.09,1.07,0.06
42.32,-0.12,-0.06,0.0,-0.03,-0.72,-5.4,-0.18,1.66,0.03
42.38,-0.09,-0.05,-0.15,-0.01,-0.73,-5.41,-0.09,1.43,0.02
42.45,-0.05,-0.04,-0.13,0.02,-0.73,-5.41,-0.03,1.76,0.01
42.51,-0.11,0.02,-0.1,-0.04,-0.74,-5.41,0.08,1.08,0.02
42.58,-0.02,-0.14,-0.09,0.05,-0.74,-5.42,0.0,1.87,0.02
42.64,-0.07,-0.21,-0.05,-0.0,-0.74,-5.43,0.17,0.98,0.03
42.71,0.02,-0.18,-0.08,0.1,-0.74,-5.44,-0.38,1.38,-0.01
42.77,-0.12,-0.15,-0.05,-0.07,-0.75,-5.45,-0.46,1.43,-0.06
42.84,-0.18,-0.09,0.03,-0.16,-0.76,-5.46,-0.12,1.1,-0.07
42.91,-0.08,-0.11,-0.1,-0.07,-0.77,-5.47,0.35,0.95,-0.03
42.97,-0.02,-0.18,-0.09,0.03,-0.77,-5.48,-0.27,1.25,-0.06
43.04,-0.07,-0.13,-0.12,-0.04,-0.77,-5.49,-0.22,1.42,-0.08
43.11,0.02,-0.12,-0.11,0.03,-0.77,-5.49,-0.23,0.96,-0.09
43.18,-0.08,-0.18,-0.05,-0.08,-0.78,-5.51,-0.62,1.0,-0.15
43.24,0.05,-0.06,-0.01,0.01,-0.77,-5.51,0.21,1.7,-0.11
43.31,-0.1,-0.28,-0.03,-0.11,-0.78,-5.53,-0.03,2.01,-0.11
43.38,-0.17,-0.31,-0.08,-0.17,-0.79,-5.55,-0.39,1.21,-0.15
43.44,-0.15,-0.04,-0.13,-0.18,-0.8,-5.55,-0.24,1.38,-0.17
43.51,-0.15,0.11,-0.18,-0.18,-0.81,-5.54,0.26,1.39,-0.14
43.58,-0.11,-0.03,-0.01,-0.11,-0.82,-5.55,0.12,1.88,-0.12
43.64,-0.05,-0.2,-0.16,-0.03,-0.82,-5.56,0.17,1.34,-0.09
43.71,-0.05,-0.19,-0.05,-0.01,-0.83,-5.57,-0.5,1.07,-0.13
43.78,-0.08,-0.05,-0.02,-0.06,-0.83,-5.58,-0.06,1.69,-0.13
43.85,-0.06,-0.18,0.08,-0.04,-0.83,-5.59,-0.14,1.23,-0.13
43.91,-0.06,-0.11,0.01,-0.04,-0.84,-5.6,0.05,1.41,-0.11
43.98,-0.08,-0.32,-0.05,-0.05,-0.84,-5.62,-0.41,0.99,-0.15
44.05,0.04,-0.17,0.05,0.05,-0.84,-5.63,0.24,1.66,-0.1
44.11,-0.1,-0.21,-0.08,-0.06,-0.85,-5.64,0.04,1.54,-0.09
44.18,-0.05,-0.05,-0.21,0.01,-0.85,-5.65,-0.38,1.73,-0.12
44.24,-0.09,-0.01,-0.06,-0.06,-0.86,-5.65,-0.29,1.39,-0.14
44.31,-0.09,-0.28,-0.18,-0.07,-0.86,-5.66,-0.02,1.44,-0.13
44.38,-0.18,-0.21,-0.03,-0.15,-0.88,-5.68,-0.12,1.43,-0.14
44.45,-0.19,0.05,-0.13,-0.16,-0.89,-5.67,0.11,1.34,-0.12
44.51,-0.18,-0.12,-0.15,-0.13,-0.9,-5.68,-0.45,1.34,-0.17
44.58,-0.02,0.09,-0.11,0.01,-0.9,-5.68,0.43,1.36,-0.1
44.64,-0.08,0.0,-0.06,-0.01,-0.91,-5.68,0.06,1.31,-0.08
